Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Algeria,28.0339,1.6596,2020-04-01,847,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-31,716,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-30,584,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-29,511,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-28,454,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-27,409,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-26,367,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-25,302,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-24,264,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-23,230,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-22,201,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-21,139,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-20,90,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-19,87,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-18,74,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-17,60,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-16,54,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-15,48,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-14,37,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-13,26,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-12,24,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-11,20,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-10,20,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-09,20,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-08,19,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-07,17,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-06,17,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-05,12,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-04,12,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-03,5,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-02,3,DZA,2,15,
,Algeria,28.0339,1.6596,2020-03-01,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-29,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-28,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-27,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-26,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-25,1,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-24,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-23,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-22,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-21,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-20,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-19,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-18,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-17,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-16,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-15,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-14,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-13,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-12,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-11,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-10,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-09,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-08,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-07,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-06,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-05,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-04,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-03,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-02,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-02-01,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-31,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-30,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-29,0,DZA,2,15,
