Date,unem_rate,industrial_production_index,manufacturers_new_orders,purchase_house_price_index,construction_spending,retail_sales
1/1/11,9.8,96.0063,410273,181.59,50973,298648
2/1/11,9.5,95.2173,408710,179.91,51017,299958
3/1/11,9.2,96.8046,493234,179.03,57148,345058
4/1/11,8.7,94.8415,449522,181.05,61590,338993
5/1/11,8.7,95.5946,466327,182.46,65430,348949
6/1/11,9.3,98.6642,478772,184.19,72495,346555
7/1/11,9.3,97.3709,443196,184.58,72253,341300
8/1/11,9.1,99.8533,482501,183.31,76986,352160
9/1/11,8.8,98.7473,478380,183.42,75871,333509
10/1/11,8.5,98.2877,461683,181.86,73783,336943
11/1/11,8.2,97.5492,456430,182.07,68203,351368
12/1/11,8.3,98.4814,482632,181.37,62582,408746
1/1/12,8.8,98.8546,444293,179.59,56608,315401
2/1/12,8.7,99.1238,469541,180.22,56994,331573
3/1/12,8.4,99.0845,506981,183,61803,368611
4/1/12,7.7,98.2948,468563,185.66,67002,349263
5/1/12,7.9,99.1168,485457,188.83,72228,373152
6/1/12,8.4,101.8729,484656,190.72,77580,356093
7/1/12,8.6,100.1821,458128,190.96,78305,351509
8/1/12,8.2,101.8822,471653,191.13,81152,372979
9/1/12,7.6,100.9534,482453,190.91,79404,342579
10/1/12,7.5,100.026,489672,191.37,80287,355781
11/1/12,7.4,100.0301,462363,191.57,73071,368548
12/1/12,7.6,100.5789,485950,191.2,66022,416740
1/1/13,8.5,100.5607,448582,191.04,58821,333791
2/1/13,8.1,100.8241,467630,192.69,58898,332503
3/1/13,7.6,101.4091,490603,196.35,64190,374153
4/1/13,7.1,100.5045,475126,199.06,70601,362908
5/1/13,7.3,100.6479,502898,202.52,75775,389593
6/1/13,7.8,103.4528,512177,205.18,80997,369356
7/1/13,7.7,101.2558,466806,206.55,84346,376976
8/1/13,7.3,104.0902,488373,206.34,86776,388163
9/1/13,7,103.4227,502437,206.06,85825,352642
10/1/13,7,102.298,496800,206.28,86551,369776
11/1/13,6.6,102.1056,477726,205.55,79695,378423
12/1/13,6.5,102.3793,494217,205.36,73876,430719
1/1/14,7,102.1683,450688,204.74,66964,340557
2/1/14,7,102.7889,462805,206,66393,337513
3/1/14,6.8,104.2804,516342,208.57,72992,383493
4/1/14,5.9,102.9064,495990,210.83,79572,383790
5/1/14,6.1,103.7271,500042,213.62,84540,407851
