price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
28599,merc, C Class,2019,Semi-Auto,970,Diesel,145,60.1,1.6
8998,ford, Kuga,2014,Manual,71854,Diesel,145,53.3,2.0
19300,bmw, X1,2016,Semi-Auto,25300,Diesel,125,60.1,2.0
17590,ford, EcoSport,2019,Semi-Auto,1576,Petrol,145,45.6,1.0
6888,vauxhall, Zafira,2014,Manual,63448,Diesel,145,55.4,2.0
40649,merc, C Class,2019,Semi-Auto,11300,Petrol,145,30.4,3.0
10995,skoda, Yeti Outdoor,2016,Semi-Auto,58221,Petrol,125,51.4,1.2
23540,vw, Sharan,2019,Semi-Auto,12487,Diesel,145,41.5,2.0
41000,merc, GLE Class,2018,Semi-Auto,4267,Diesel,145,36.7,3.0
6920,toyota, Yaris,2013,Semi-Auto,51642,Petrol,125,53.3,1.3
14998,ford, Kuga,2017,Manual,44106,Diesel,125,60.1,2.0
7999,ford, Fiesta,2016,Manual,60730,Diesel,0,78.5,1.5
31790,toyota, RAV4,2020,Automatic,1652,Hybrid,135,49.6,2.5
14295,skoda, Octavia,2017,Manual,15936,Petrol,150,55.4,1.5
16291,skoda, Karoq,2018,Manual,6279,Diesel,145,61.4,1.6
10570,bmw, 3 Series,2015,Manual,59020,Diesel,125,57.6,2.0
9495,skoda, Fabia,2017,Manual,10660,Petrol,20,60.1,1.2
27700,bmw, 4 Series,2019,Manual,110,Petrol,145,46.3,2.0
27950,audi, A5,2019,Automatic,3584,Diesel,145,49.6,2.0
9995,vw, Golf,2016,Manual,47532,Diesel,0,74.3,1.6
11350,bmw, 1 Series,2016,Manual,44000,Diesel,20,72.4,1.5
15999,hyundi, Ioniq,2017,Automatic,23700,Hybrid,135,78.5,1.6
27999,merc, C Class,2019,Automatic,3817,Diesel,145,60.1,1.6
18449,merc, C Class,2016,Semi-Auto,23077,Diesel,30,64.2,2.1
15995,hyundi, Santa Fe,2016,Manual,32696,Diesel,200,46.3,2.2
9995,ford, Fiesta,2017,Manual,27755,Petrol,20,62.8,1.0
10298,vw, Golf,2015,Manual,35381,Petrol,30,53.3,1.4
36699,merc, E Class,2019,Semi-Auto,5065,Diesel,145,48.7,3.0
24990,vw, Touareg,2017,Semi-Auto,24987,Diesel,235,42.8,3.0
9620,vauxhall, Astra,2016,Semi-Auto,20442,Petrol,125,51.4,1.4
10000,ford, EcoSport,2017,Manual,24500,Petrol,150,53.3,1.0
15995,merc, A Class,2017,Semi-Auto,10839,Petrol,145,55.4,1.6
10491,toyota, Aygo,2019,Semi-Auto,6900,Petrol,145,55.4,1.0
1495,toyota, Corolla,2003,Manual,89000,Petrol,235,39.2,1.6
14500,audi, A3,2016,Manual,27209,Petrol,30,56.5,1.2
30728,audi, A5,2019,Semi-Auto,5712,Diesel,145,51.4,2.0
23950,vw, T-Roc,2020,Semi-Auto,3000,Petrol,145,39.8,1.5
11060,skoda, Superb,2017,Semi-Auto,82370,Diesel,145,62.8,2.0
8795,vauxhall, Corsa,2019,Manual,10643,Petrol,145,43.5,1.4
25799,merc, C Class,2019,Semi-Auto,13571,Diesel,145,61.4,2.0
14991,bmw, 1 Series,2016,Semi-Auto,17236,Diesel,20,68.9,1.5
8498,vauxhall, Mokka,2015,Manual,38796,Diesel,20,68.9,1.6
5695,vauxhall, Antara,2012,Manual,63725,Diesel,240,42.8,2.2
30995,audi, Q5,2018,Semi-Auto,24408,Petrol,145,40.4,2.0
12299,hyundi, Kona,2018,Manual,32031,Petrol,145,52.3,1.0
66990,merc, C Class,2019,Automatic,9625,Petrol,145,28.0,4.0
33995,audi, A3,2019,Semi-Auto,3243,Petrol,145,34.5,2.0
8695,hyundi, I10,2018,Manual,7963,Petrol,150,57.7,1.2
8700,skoda, Citigo,2018,Automatic,2343,Petrol,145,65.7,1.0
30990,audi, A4,2020,Semi-Auto,4454,Petrol,145,38.2,2.0
22780,toyota, Corolla,2019,Automatic,9980,Hybrid,135,72.4,2.0
13995,ford, EcoSport,2018,Manual,15080,Petrol,145,54.3,1.0
38191,merc, GLE Class,2017,Automatic,19157,Petrol,145,32.8,3.0
10979,ford, Fiesta,2018,Manual,16430,Petrol,145,65.7,1.0
15000,hyundi, Tucson,2016,Semi-Auto,13769,Diesel,125,57.6,1.7
7341,vauxhall, Corsa,2017,Manual,18182,Petrol,30,55.4,1.4
31975,bmw, 6 Series,2015,Automatic,38509,Petrol,555,28.5,4.4
13550,merc, A Class,2016,Manual,18304,Diesel,20,72.4,1.5
20990,merc, A Class,2019,Semi-Auto,15059,Diesel,145,67.3,1.5
17900,vw, Golf,2019,Manual,5500,Diesel,145,57.7,1.6
10698,vauxhall, Corsa,2019,Automatic,5491,Petrol,150,39.8,1.4
7699,ford, Kuga,2014,Manual,87489,Diesel,150,53.3,2.0
10999,ford, Fiesta,2017,Manual,9289,Petrol,145,65.7,1.0
13495,vauxhall, Zafira,2017,Automatic,16915,Petrol,150,40.9,1.4
22992,ford, Focus,2016,Manual,17515,Petrol,235,36.7,2.3
25500,bmw, 3 Series,2017,Semi-Auto,14834,Diesel,145,51.4,3.0
23990,bmw, 3 Series,2020,Manual,16,Diesel,145,56.5,2.0
7998,vauxhall, Mokka,2015,Manual,46311,Petrol,200,42.2,1.4
8999,vauxhall, Corsa,2017,Manual,8000,Petrol,145,55.4,1.4
43981,merc, GLC Class,2019,Automatic,6750,Petrol,145,31.7,2.0
6680,ford, Fiesta,2014,Manual,39123,Diesel,0,76.4,1.5
6477,ford, Focus,2013,Manual,41250,Petrol,30,56.5,1.0
6997,ford, Fiesta,2014,Manual,23303,Petrol,0,65.7,1.0
13995,skoda, Superb,2016,Manual,39954,Diesel,20,68.9,2.0
33490,audi, A3,2019,Automatic,6000,Petrol,145,33.2,2.0
12698,skoda, Octavia,2017,Semi-Auto,25203,Petrol,145,57.7,1.4
