price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
22299,merc, A Class,2019,Semi-Auto,6571,Diesel,145,65.7,1.5
14450,audi, A1,2016,Manual,22600,Petrol,30,55.4,1.4
32998,merc, C Class,2019,Semi-Auto,17,Petrol,145,46.3,1.5
18991,bmw, X1,2017,Semi-Auto,29317,Diesel,145,57.6,2.0
5195,merc, A Class,2011,Automatic,60000,Diesel,165,52.3,2.0
28888,audi, Q2,2019,Semi-Auto,4201,Petrol,145,33.2,2.0
20750,merc, GLC Class,2016,Automatic,30848,Diesel,125,56.5,2.1
30480,merc, GLC Class,2019,Semi-Auto,9736,Diesel,145,42.2,2.1
20699,audi, A4,2016,Semi-Auto,49800,Diesel,145,53.3,3.0
24980,merc, E Class,2017,Semi-Auto,27993,Diesel,145,65.7,2.0
19216,bmw, 4 Series,2016,Automatic,25798,Petrol,160,44.1,2.0
10495,audi, A1,2015,Manual,34190,Diesel,0,80.7,1.6
32000,bmw, 3 Series,2019,Semi-Auto,15114,Diesel,150,49.6,3.0
31495,merc, C Class,2019,Automatic,3500,Diesel,145,48.7,2.0
20549,merc, C Class,2019,Semi-Auto,13243,Diesel,145,61.4,2.0
10998,audi, A3,2016,Manual,41014,Petrol,125,53.3,1.4
22072,merc, CL Class,2018,Semi-Auto,10600,Petrol,145,53.3,1.6
27940,bmw, 3 Series,2019,Semi-Auto,6865,Diesel,145,52.3,2.0
14951,bmw, 1 Series,2017,Semi-Auto,18852,Diesel,150,70.6,2.0
20500,merc, CL Class,2017,Automatic,14611,Diesel,145,67.3,2.1
21490,bmw, 4 Series,2017,Semi-Auto,48957,Diesel,145,50.4,3.0
23995,audi, Q2,2019,Manual,4430,Petrol,145,40.9,1.5
17495,merc, A Class,2017,Semi-Auto,21000,Diesel,150,74.3,1.5
16591,bmw, 4 Series,2016,Semi-Auto,46500,Diesel,160,52.3,3.0
31040,merc, C Class,2019,Semi-Auto,4511,Diesel,145,64.2,2.0
28376,audi, A5,2019,Automatic,5347,Diesel,145,45.6,2.0
12202,merc, CL Class,2013,Manual,69008,Petrol,125,50.4,1.6
29770,bmw, X2,2019,Automatic,123,Diesel,145,48.7,2.0
46995,merc, CLS Class,2019,Semi-Auto,2619,Petrol,145,31.4,2.0
11495,audi, A3,2014,Automatic,60770,Diesel,30,64.2,2.0
47980,bmw, M2,2019,Semi-Auto,100,Petrol,145,29.1,3.0
15000,bmw, 5 Series,2017,Automatic,41026,Diesel,30,62.8,2.0
26490,merc, E Class,2018,Semi-Auto,17993,Diesel,145,58.9,2.0
29240,bmw, 7 Series,2016,Semi-Auto,20619,Diesel,145,54.3,3.0
18999,merc, B Class,2018,Semi-Auto,13868,Petrol,150,50.4,1.6
7475,bmw, 1 Series,2008,Manual,59000,Diesel,110,58.9,2.0
15490,bmw, 1 Series,2017,Automatic,26000,Diesel,125,61.4,2.0
12590,bmw, 2 Series,2016,Automatic,45458,Diesel,20,68.9,2.0
10250,audi, TT,2011,Manual,80000,Diesel,145,53.3,2.0
13500,audi, A1,2017,Manual,13000,Petrol,150,67.3,1.0
38000,merc, GLC Class,2019,Semi-Auto,99,Petrol,145,32.1,2.0
16567,merc, CL Class,2017,Semi-Auto,37093,Diesel,20,70.6,2.1
22898,bmw, 3 Series,2019,Automatic,12249,Diesel,145,62.8,2.0
20799,audi, A3,2018,Semi-Auto,10413,Diesel,145,62.8,2.0
17397,audi, A6,2016,Manual,36611,Diesel,30,61.4,2.0
31995,bmw, 3 Series,2019,Automatic,999,Petrol,145,42.2,2.0
18499,merc, CLS Class,2015,Automatic,23446,Diesel,125,57.7,2.1
37500,merc, GLS Class,2016,Automatic,41013,Diesel,300,37.2,3.0
24790,bmw, 3 Series,2018,Semi-Auto,12,Petrol,145,48.7,2.0
30200,merc, C Class,2019,Semi-Auto,4589,Diesel,145,64.2,2.0
23990,audi, Q2,2019,Manual,1692,Diesel,145,49.6,1.6
16950,audi, TT,2015,Automatic,34000,Petrol,160,44.1,2.0
28350,audi, A3,2017,Automatic,15336,Petrol,150,43.5,2.0
18499,merc, C Class,2016,Automatic,28696,Hybrid,0,134.5,2.0
19490,bmw, i3,2016,Automatic,8421,Hybrid,0,470.8,0.0
13849,audi, Q3,2016,Manual,46553,Diesel,30,61.4,2.0
16840,audi, Q3,2017,Manual,32590,Petrol,125,51.4,1.4
24790,audi, A4,2018,Automatic,26796,Petrol,145,44.8,2.0
18480,merc, E Class,2016,Automatic,19639,Diesel,125,58.9,2.1
28999,merc, C Class,2019,Semi-Auto,5789,Diesel,145,61.4,2.0
9998,bmw, 3 Series,2013,Semi-Auto,46121,Diesel,30,62.8,2.0
24582,audi, Q5,2018,Semi-Auto,62349,Petrol,145,40.9,2.0
31500,audi, A3,2019,Automatic,1000,Petrol,145,36.7,2.0
27858,audi, A5,2019,Semi-Auto,5000,Petrol,145,39.8,2.0
26875,bmw, 5 Series,2019,Semi-Auto,11794,Diesel,150,62.8,2.0
17092,merc, CL Class,2017,Semi-Auto,27938,Diesel,145,67.3,2.1
14990,bmw, 5 Series,2016,Automatic,34000,Diesel,30,62.8,2.0
22225,audi, A5,2018,Semi-Auto,37377,Diesel,145,62.8,2.0
27500,merc, C Class,2018,Semi-Auto,12234,Diesel,145,57.7,2.0
19299,merc, E Class,2017,Semi-Auto,39469,Diesel,20,67.3,2.0
33480,merc, GLC Class,2019,Semi-Auto,2552,Diesel,145,44.8,2.0
15995,audi, A3,2015,Semi-Auto,49487,Diesel,125,57.6,2.0
16491,bmw, 2 Series,2017,Semi-Auto,22080,Petrol,145,48.7,2.0
32995,audi, Q5,2018,Semi-Auto,4000,Petrol,145,40.4,2.0
22500,bmw, 3 Series,2018,Semi-Auto,11150,Petrol,145,48.7,2.0
24995,merc, GLC Class,2016,Automatic,40343,Diesel,125,56.5,2.1
13240,merc, SLK,2015,Semi-Auto,38487,Diesel,145,56.5,2.0
16442,merc, C Class,2017,Automatic,58687,Diesel,145,64.2,2.1
20966,bmw, 3 Series,2019,Automatic,9582,Petrol,145,48.7,2.0
21565,merc, C Class,2017,Automatic,39447,Petrol,145,47.1,2.0
14670,merc, C Class,2017,Automatic,51406,Diesel,150,64.2,2.1
20092,merc, C Class,2016,Semi-Auto,25803,Diesel,30,61.4,2.1
19999,bmw, 1 Series,2019,Semi-Auto,5963,Petrol,145,54.3,1.5
10995,bmw, 1 Series,2013,Semi-Auto,43818,Petrol,150,48.7,1.6
25499,merc, C Class,2019,Semi-Auto,15175,Diesel,145,61.4,2.0
42982,bmw, X4,2019,Automatic,9151,Diesel,145,37.2,3.0
12999,bmw, 3 Series,2015,Semi-Auto,45191,Diesel,125,58.9,2.0
24825,audi, A5,2018,Semi-Auto,26693,Petrol,145,50.4,2.0
16490,merc, C Class,2015,Automatic,37000,Diesel,30,64.2,2.1
16450,bmw, Z4,2015,Semi-Auto,22583,Petrol,200,41.5,2.0
15000,audi, TT,2015,Manual,36343,Diesel,20,67.3,2.0
17000,merc, A Class,2016,Semi-Auto,24369,Diesel,20,68.9,2.1
23980,merc, C Class,2019,Semi-Auto,13864,Diesel,145,61.4,2.0
26000,audi, A8,2016,Semi-Auto,25691,Diesel,200,47.9,3.0
29990,merc, GLC Class,2017,Automatic,13919,Diesel,150,56.5,2.1
18690,bmw, 3 Series,2017,Automatic,40097,Diesel,145,64.2,2.0
48895,audi, Q5,2020,Automatic,1000,Diesel,145,34.5,3.0
53990,audi, Q7,2019,Semi-Auto,8224,Diesel,145,33.2,3.0
30790,audi, Q7,2016,Semi-Auto,14727,Diesel,160,48.7,3.0
17400,bmw, 3 Series,2017,Automatic,34437,Diesel,145,56.5,3.0
20990,audi, Q2,2018,Semi-Auto,8650,Petrol,145,54.3,1.4
13499,bmw, 3 Series,2014,Automatic,61829,Diesel,125,57.6,3.0
83995,audi, Q8,2019,Semi-Auto,5978,Diesel,150,30.7,4.0
18257,bmw, 3 Series,2016,Automatic,19060,Diesel,145,53.3,3.0
13995,bmw, 3 Series,2017,Manual,25345,Petrol,150,48.7,2.0
89990,audi, Q7,2020,Semi-Auto,5000,Diesel,145,29.4,4.0
23500,bmw, 5 Series,2017,Semi-Auto,27726,Hybrid,135,156.9,2.0
18000,audi, A3,2019,Manual,4500,Diesel,145,49.6,1.6
15950,merc, A Class,2017,Manual,20013,Petrol,145,51.4,1.6
38000,audi, Q7,2018,Automatic,12219,Diesel,145,47.9,3.0
19750,bmw, 1 Series,2017,Automatic,29000,Petrol,205,39.8,3.0
11976,bmw, 2 Series,2016,Manual,26089,Petrol,30,55.4,1.5
45000,bmw, 3 Series,2020,Semi-Auto,2500,Petrol,145,33.6,3.0
24000,bmw, 4 Series,2018,Manual,24848,Petrol,145,36.7,3.0
18990,audi, A3,2019,Semi-Auto,2620,Diesel,150,52.3,1.6
26089,merc, A Class,2019,Semi-Auto,1000,Diesel,145,56.5,2.0
19998,merc, V Class,2018,Manual,23183,Diesel,145,46.3,2.1
27980,bmw, 5 Series,2020,Semi-Auto,105,Hybrid,145,52.3,2.0
17998,bmw, X1,2017,Semi-Auto,41604,Diesel,150,55.4,2.0
33729,merc, GLC Class,2019,Automatic,11301,Diesel,145,56.5,2.1
32199,merc, C Class,2019,Automatic,5511,Diesel,145,54.3,2.0
46500,merc, V Class,2019,Automatic,2000,Diesel,145,36.7,2.0
10100,bmw, 5 Series,2013,Automatic,89028,Diesel,125,57.6,2.0
32367,merc, GLC Class,2019,Automatic,6257,Diesel,145,56.5,2.1
10499,bmw, 1 Series,2016,Manual,36240,Diesel,0,83.1,1.5
